Address,Latitude,Longitude
Location,39.2138905,-79.6371124
BADAR PUR,23.0184013,90.878216
ALI VILLAGE,28.5160804,77.296615
KALINDI KUNJ,28.542916,77.3101107
AMITY SCHOOL,28.45506215,77.07680728
BAROLA VILLAGE,28.5449709,77.4001631
SADAR PUR VILLAGE,23.96800815,91.21031032
CROWN PLAZA,45.51208405,-122.6766828
KALINDI KUNJ,28.542916,77.3101107
AMITY SCHOOL,28.45506215,77.07680728
BAROLA VILLAGE,28.5449709,77.4001631
SADAR PUR VILLAGE,23.96800815,91.21031032
ICE FACTORY,11.53621005,104.933794
CLOCK TOWER,30.3243226,78.0418634
R.P. BAGH,-20.170037,57.50770558
BARA BAGH,22.5739543,88.34501521
ADARSH NAGAR,28.7165805,77.1704223
BUDH PUR,28.7816996,77.1410657
ALIPUR,23.2825909,77.77736714
NIZAMUDDIN RAILWAY STATION,28.5862839,77.2534326
LODHI ROAD CROSSING,28.5917991,77.2237229
PRITHVIRAJ ROAD,28.7226039,77.172545
NIRMAN BHAWAN,31.09028,77.1757245
KRISHI BHAWAN,28.614871,77.212476
REGAL,45.4068106,-94.8452502
ICE FACTORY,11.53621005,104.933794
MALKA GANJ,28.6775155,77.2077605
RP BAGH,34.1461494,74.8250822
BARA BAGH,22.5739543,88.34501521
ADARSH NAGAR.,28.7165805,77.1704223
PALIKA  KENDRA,28.62848015,77.21544954
ICE FACTORY,11.53621005,104.933794
CLOCK TOWER,30.3243226,78.0418634
RP BAGH,34.1461494,74.8250822
BARA BAGH,22.5739543,88.34501521
ADARSH NAGAR.,28.7165805,77.1704223
JAMA MASJID,28.6506822,77.23296096
DELHI GATE,28.6392174,77.2407795
AJMERI GATE,26.91722115,75.81681843
ICE FACTORY,11.53621005,104.933794
MALKA GANJ,28.6775155,77.2077605
R.P. BAGH,-20.170037,57.50770558
MODEL TOWN-II,28.707334,77.1885231
ADARSH NAGAR,28.7165805,77.1704223
ISBT KASHMERE GATE,28.6695174,77.2321699
RED FORT,28.65608095,77.24079592
DELHI GATE,28.6392174,77.2407795
SUPREME COURT,28.6216268,77.23908618
SHAHJAHAN RD,28.6070346,77.2268359
BHARTI NAGAR,28.5967192,77.2287497
LODHI COLONY,28.586203,77.2268576
BHAJAN PURA,26.722537,78.4308385
C-4 YAMUNA VIHAR,28.7006347,77.28338903
NAND NAGRI DEPOT,28.69780895,77.30570108
ANAND GRAM,28.6888237,77.3220459
SEEMA PURI,28.6985971,77.31126858
SURYA NAGAR,19.4029227,78.33238
ANAND VIHAR ISBT,28.6490523,77.3182836
VISHWA BHARTI SCHOOL,34.0966116,74.8279963
